seed;score;water scale;water coverage;elevation type
380107393;0.670097;0.25;0.5;2.0
1946587;0.669898;0.333333;0.75;2.0
535454012;0.669891;0.75;1.33333;island
535454012;0.669891;0.75;0.75;island
535454012;0.669891;0.75;1;island
535454012;0.669891;0.75;1.5;island
535454012;0.669891;0.75;0.333333;island
535454012;0.669891;0.75;2;island
535454012;0.669891;0.75;0.25;island
535454012;0.669891;0.75;0.5;island
535454012;0.669891;0.75;0.166667;island
3716003138;0.669233;0.333333;0.166667;1.1
3700128828;0.669196;0.166667;0.25;2.0
2953842690;0.669175;3;3;1.1
2953842690;0.669175;3;6;1.1
2953842690;0.669175;3;2;1.1
2953842690;0.669175;3;4;1.1
2953842690;0.669175;3;1.5;1.1
322159809;0.668944;0.75;1.5;1.1
1789162505;0.668927;0.333333;0.5;1.1
2456230439;0.668486;0.5;6;island
3991852583;0.668215;0.5;0.5;1.1
659804748;0.668209;1;0.75;1.1
742214510;0.668174;0.5;0.333333;2.0
742214510;0.668174;0.5;0.25;2.0
1816471253;0.668083;2;6;1.1
2150575828;0.668011;0.166667;0.25;2.0
3700128828;0.667946;0.5;0.166667;1.1
2020175094;0.667937;0.5;0.25;1.1
2560651682;0.667745;0.166667;0.25;1.1
1322129149;0.667693;0.75;0.333333;2.0
4029540583;0.667602;0.25;0.333333;2.0
1216394375;0.667195;0.5;0.333333;2.0
843830886;0.667058;2;1.5;1.1
2093560787;0.666896;0.75;4;1.1
2093560787;0.666896;0.75;3;1.1
4250594833;0.666599;0.333333;0.333333;1.1
406119868;0.66657;0.5;1.5;1.1
1533407436;0.666547;2;0.25;1.1
1533407436;0.666547;6;1;island
1533407436;0.666547;3;1;island
1533407436;0.666547;3;2;island
1533407436;0.666547;2;0.166667;1.1
1533407436;0.666547;4;0.333333;island
1533407436;0.666547;6;2;island
1533407436;0.666547;6;0.5;island
1533407436;0.666547;4;4;1.1
1533407436;0.666547;6;0.333333;1.1
1533407436;0.666547;6;1.5;island
1533407436;0.666547;6;4;1.1
1533407436;0.666547;4;1;island
1533407436;0.666547;3;1;1.1
1533407436;0.666547;6;1;1.1
1533407436;0.666547;4;3;1.1
1533407436;0.666547;3;0.5;1.1
1533407436;0.666547;3;2;1.1
1533407436;0.666547;4;0.25;1.1
1533407436;0.666547;4;1.33333;1.1
1533407436;0.666547;3;0.75;1.1
1533407436;0.666547;6;1.5;1.1
1533407436;0.666547;3;4;island
1533407436;0.666547;6;6;island
1533407436;0.666547;4;0.166667;1.1
1533407436;0.666547;2;0.166667;island
1533407436;0.666547;2;0.75;island
1533407436;0.666547;3;0.333333;1.1
1533407436;0.666547;2;2;island
1533407436;0.666547;4;3;island
1533407436;0.666547;6;0.25;1.1
1533407436;0.666547;3;3;island
1533407436;0.666547;2;4;island
1533407436;0.666547;4;0.75;island
1533407436;0.666547;6;3;1.1
1533407436;0.666547;6;0.166667;1.1
1533407436;0.666547;3;1.5;island
1533407436;0.666547;4;2;1.1
1533407436;0.666547;4;0.5;island
1533407436;0.666547;4;0.166667;island
1533407436;0.666547;6;0.333333;island
1533407436;0.666547;2;1.33333;island
1533407436;0.666547;3;0.25;1.1
1533407436;0.666547;2;0.5;island
1533407436;0.666547;4;0.25;island
1533407436;0.666547;2;0.333333;island
1533407436;0.666547;3;0.166667;island
1533407436;0.666547;4;1.33333;island
1533407436;0.666547;3;6;island
1533407436;0.666547;4;1.5;1.1
1533407436;0.666547;4;0.5;1.1
1533407436;0.666547;2;0.25;island
1533407436;0.666547;6;6;1.1
1533407436;0.666547;4;6;island
1533407436;0.666547;4;2;island
1533407436;0.666547;2;1.5;island
1533407436;0.666547;2;3;island
1533407436;0.666547;6;0.166667;island
1533407436;0.666547;3;0.333333;island
1533407436;0.666547;3;6;1.1
